,Exp. m/z,Abundance
1563,474.11225,3475451
1564,474.97939,2092378
1565,475.00982,2791783
1569,475.05566,3822969
1570,475.08288,3253636
1572,475.09175,3120520
1573,475.10904000000005,2335631
1574,475.11882,2194323
1576,475.12804000000006,4504982
1578,475.16432000000003,2477477
1581,476.0471,4507402
1582,476.05512999999996,9414413
1583,476.0834,3382041
1588,477.01352,2432144
1591,477.04637,2208926
1594,477.09851,3372211
1596,477.10745999999995,2832566
1597,477.13468,2105537
1599,477.14383,2522309
1601,477.21327,2624737
1603,478.06271,3369528
1605,478.09914000000003,3053126
1606,478.10715,5440074
1608,478.18001,2127975
1609,478.99276,2279342
1610,479.00494000000003,2299827
1613,479.02895,3889085
1614,479.04117,5987266
1617,479.0777,5174225
1619,479.11392,2885599
1624,480.04179000000005,2412885
1625,480.05006,9661784
1626,480.07850999999994,3074403
1631,481.00834000000003,4089561
1632,481.01809000000003,2325725
1633,481.02034000000003,3821278
1636,481.04472999999996,4775656
1640,481.08092999999997,3021558
1644,481.11753,2188037
1647,481.20795999999996,2771753
1648,482.02935,4395123
1650,482.09394000000003,2224781
1651,482.10211,5054608
1656,483.02387000000004,4762113
1657,483.03368,2081285
1658,483.03578,3633670
1666,483.0967,3182110
1670,483.13293,3203629
1673,484.02405,2126737
1675,484.05232,2518940
1676,484.06,3717023
1680,484.15425999999997,2010565
1682,485.00333,3890456
1686,485.03982,4869415
1694,485.13012000000003,8338763
1696,485.14857,3053906
1698,485.27677,2801029
1699,485.28262,16692615
1700,486.03128,2732722
1703,486.06789000000003,3769024
1705,486.09705999999994,2926284
1706,486.13357,2675418
1707,486.28590999999994,4917015
1711,487.01912999999996,3646522
1715,487.05547,4796489
1718,487.09185,3731543
1720,487.12447000000003,8501348
1721,487.12795,3790950
1725,488.04702000000003,4187602
1726,488.05528,7016918
1727,488.08364000000006,2548193
1729,488.12791,2277874
1734,489.0349,3294041
1738,489.07133,3005288
1740,489.10748,3556214
1743,489.18012999999996,2171795
1745,490.02630999999997,2269409
1747,490.06268,3622127
1749,490.09927999999996,3074302
1750,490.10717,3383553
1752,491.01034000000004,16490085
1753,491.02899,2850412
1756,491.07714000000004,4275839
1758,491.08691,2678403
1760,491.12318,2880145
