,Exp. m/z,Theor. Mass,Error,Abundance,Signal2Noise,DBE,Cno,Hno,Nno,Ono,Sno,13Cno,18Ono,Formula,HeteroClass
178,470.02938,470.02938,0,3084676,0,12.0,17,14,0,15,0,1,0,13C1 12C17 H14 O15,O15
179,470.0447,470.0447,0,4034954,0,16.0,21,14,0,12,0,1,0,13C1 12C21 H14 O12,O12
180,470.06582000000003,470.06582000000003,0,6163859,0,11.0,18,18,0,14,0,1,0,13C1 12C18 H18 O14,O14
181,470.13853,470.13853,0,4143536,0,9.0,20,26,0,12,0,1,0,13C1 12C20 H26 O12,O12
182,472.02382,472.02382,0,4187309,0,16.0,20,12,0,13,0,1,0,13C1 12C20 H12 O13,O13
183,472.08149000000003,472.08149000000003,0,3576004,0,10.0,18,20,0,14,0,1,0,13C1 12C18 H20 O14,O14
184,472.09682000000004,472.09682000000004,0,2385099,0,14.0,22,20,0,11,0,1,0,13C1 12C22 H20 O11,O11
185,472.11771,472.11771,0,2806995,0,9.0,19,24,0,13,0,1,0,13C1 12C19 H24 O13,O13
186,474.00275999999997,474.00275999999997,0,2442703,0,16.0,19,10,0,14,0,1,0,13C1 12C19 H10 O14,O14
187,474.03952999999996,474.03952999999996,0,7173086,0,15.0,20,14,0,13,0,1,0,13C1 12C20 H14 O13,O13
188,474.07592999999997,474.07592999999997,0,5833709,0,14.0,21,18,0,12,0,1,0,13C1 12C21 H18 O12,O12
189,476.01876,476.01876,0,5236479,0,15.0,19,12,0,14,0,1,0,13C1 12C19 H12 O14,O14
190,476.09166,476.09166,0,5543708,0,13.0,21,20,0,12,0,1,0,13C1 12C21 H20 O12,O12
191,476.12794,476.12794,0,3574571,0,12.0,22,24,0,11,0,1,0,13C1 12C22 H24 O11,O11
192,476.16425999999996,476.16425999999996,0,2080569,0,11.0,23,28,0,10,0,1,0,13C1 12C23 H28 O10,O10
193,478.03437,478.03437,0,7531052,0,14.0,19,14,0,14,0,1,0,13C1 12C19 H14 O14,O14
194,478.0708,478.0708,0,9849403,0,13.0,20,18,0,13,0,1,0,13C1 12C20 H18 O13,O13
195,478.14347000000004,478.14347000000004,0,4046424,0,11.0,22,26,0,11,0,1,0,13C1 12C22 H26 O11,O11
196,480.01365999999996,480.01365999999996,0,2638153,0,14.0,18,12,0,15,0,1,0,13C1 12C18 H12 O15,O15
197,480.08648,480.08648,0,7775591,0,12.0,20,20,0,13,0,1,0,13C1 12C20 H20 O13,O13
198,480.12293,480.12293,0,5242229,0,11.0,21,24,0,12,0,1,0,13C1 12C21 H24 O12,O12
199,480.15887000000004,480.15887000000004,0,2518404,0,10.0,22,28,0,11,0,1,0,13C1 12C22 H28 O11,O11
200,482.06579000000005,482.06579000000005,0,9379969,0,12.0,19,18,0,14,0,1,0,13C1 12C19 H18 O14,O14
201,482.13855,482.13855,0,3375262,0,10.0,21,26,0,12,0,1,0,13C1 12C21 H26 O12,O12
202,484.04498,484.04498,0,5247898,0,12.0,18,16,0,15,0,1,0,13C1 12C18 H16 O15,O15
203,484.08140999999995,484.08140999999995,0,5647272,0,11.0,19,20,0,14,0,1,0,13C1 12C19 H20 O14,O14
204,484.09632999999997,484.09632999999997,0,2390446,0,15.0,23,20,0,11,0,1,0,13C1 12C23 H20 O11,O11
205,484.11765999999994,484.11765999999994,0,3879862,0,10.0,20,24,0,13,0,1,0,13C1 12C20 H24 O13,O13
206,486.03950999999995,486.03950999999995,0,6028981,0,16.0,21,14,0,13,0,1,0,13C1 12C21 H14 O13,O13
207,486.06077999999997,486.06077999999997,0,3172029,0,11.0,18,18,0,15,0,1,0,13C1 12C18 H18 O15,O15
208,486.07590999999996,486.07590999999996,0,3885763,0,15.0,22,18,0,12,0,1,0,13C1 12C22 H18 O12,O12
209,488.01860999999997,488.01860999999997,0,4084167,0,16.0,20,12,0,14,0,1,0,13C1 12C20 H12 O14,O14
210,488.09157000000005,488.09157000000005,0,3586532,0,14.0,22,20,0,12,0,1,0,13C1 12C22 H20 O12,O12
211,490.03442,490.03442,0,7318756,0,15.0,20,14,0,14,0,1,0,13C1 12C20 H14 O14,O14
212,490.0708,490.0708,0,8285427,0,14.0,21,18,0,13,0,1,0,13C1 12C21 H18 O13,O13
