,Exp. m/z,Theor. Mass,Error,Abundance,DBE,Cno,Hno,Nno,Ono,Sno,Formula,HeteroClass
217,335.1136,335.1136285799,-0.08528420680783824,7496438,8.0,17,20,0,7,0,C17H20O7,O7
218,335.15009,335.1500135799,0.2280175946945688,3074819,7.0,18,24,0,6,0,C18H24O6,O6
219,337.0201,337.02012357990003,-0.0699658517897576,10417597,10.0,14,10,0,10,0,C14H10O10,O10
220,337.05649,337.0565085799,-0.05512399124841838,19803596,9.0,15,14,0,9,0,C15H14O9,O9
221,337.09287,337.0928935799,-0.06995074789664175,16260569,8.0,16,18,0,8,0,C16H18O8,O8
222,337.12924,337.1292785799,-0.11443651586133495,9094630,7.0,17,22,0,7,0,C17H22O7,O7
223,338.99935,338.9993885799,-0.11380522011306252,3116700,10.0,13,8,0,11,0,C13H8O11,O11
224,339.03574,339.0357735799,-0.09904530042237328,18907306,9.0,14,12,0,10,0,C14H12O10,O10
225,339.07214,339.0721585799,-0.05479630090243059,22085814,8.0,15,16,0,9,0,C15H16O9,O9
226,339.10851,339.1085435799,-0.09902404591996805,20754628,7.0,16,20,0,8,0,C16H20O8,O8
227,339.14493,339.1449285799,0.004187295334516098,5843154,6.0,17,24,0,7,0,C17H24O7,O7
228,341.01506,341.0150385799,0.06281277234199435,7519107,9.0,13,10,0,11,0,C13H10O11,O11
229,341.03026,341.0302935799,-0.09846603255919277,2563976,13.0,17,10,0,8,0,C17H10O8,O8
230,341.05138999999997,341.0514235799,-0.09845993221689624,22819728,8.0,14,14,0,10,0,C14H14O10,O10
231,341.08777000000003,341.0878085799,-0.11310841082040127,23929756,7.0,15,18,0,9,0,C15H18O9,O9
232,341.12417999999997,341.1241935799,-0.03980925509648406,11019178,6.0,16,22,0,8,0,C16H22O8,O8
233,341.16066,341.1605785799,0.2386562373105246,1973688,5.0,17,26,0,7,0,C17H26O7,O7
234,343.00964,343.00955857990004,0.2373697697603702,2599516,13.0,16,8,0,9,0,C16H8O9,O9
235,343.03063,343.0306885799,-0.17077160146921594,9266788,8.0,13,12,0,11,0,C13H12O11,O11
236,343.04592,343.04594357990004,-0.06873685714072582,4820586,12.0,17,12,0,8,0,C17H12O8,O8
237,343.06703999999996,343.0670735799,-0.09788144253468321,14882417,7.0,14,16,0,10,0,C14H16O10,O10
