m/z	I
431.02558	21979266
431.02921	3192964
431.04674	8431754
431.05756	3672207
431.06196	26689680
431.06549	3710098
431.08316	6203545
431.09839	11722910
431.10179	4976800
431.1195	4953255
431.1348	7923884
431.13813	3665070
431.17115	3457210
432.02896	4956678
432.05722	4000272
432.06532	5624340
432.09359	2156063
432.10165	3143202
432.10538	2101283
432.99688	2243452
433.00482	11137919
433.03668	5190540
433.04125	39445388
433.06249	2804630
433.07314	3209114
433.07763	28287900
433.08124	3088285
433.1093	2298792
433.11398	14926762
433.11747	3912619
433.15035	8887224
433.15393	3072953
433.18676	3557318
434.00789	1975557
434.03661	3724560
434.04463	7542035
434.07293	3969310
434.08092	5860642
434.11736	2886960
434.15375	3167550
435.00257	2664073
435.01591	3714702
435.0205	26789520
435.03577	2013845
435.0391	2193047
435.05225	6375068
435.05688	44443292
435.0887	3321514
435.09328	27518636
435.09693	2496173
435.12516	2637496
435.12969	15042234
435.13323	2454204
435.1661	9553608
436.0238	5859352
436.05223	3475491
436.06028	9422886
436.08852	3313713
436.0967	6092852
436.13297	4140098
436.16927	2483280
436.99972	6345110
437.01513	2284956
437.01852	2320797
437.03148	5421474
437.03614	42805668
437.05128	3587498
437.05473	2024363
437.06789	6082993
437.07252	36153780
437.09092	2588090
437.10434	3702207
437.10894	24996288
437.14063	2244045
437.14535	17426894
437.18174	6054365
438.0313	2178859
438.03955	7199534
438.06768	3393337
438.07592	7547709
438.10434	2149192
438.11222	6415179
438.1487	3581785
438.18499	1994087
438.99434	2300582
438.99764	3241127
439.01083	2581677
439.01541	15244462
439.03074	6743221
439.0341	4095158
439.04019	2195640
439.04429	2407610
439.04722	5700795
439.05183	40611004
439.06702	5297347
439.07054	4266180
439.08365	3565769
439.0882	29117642
439.10329	2339537
439.10693	2707666
439.12009	2763480
439.12461	21499098
439.15643	2022118
439.16093	12090600
439.19738	2486518
440.01871	3082810
440.04704	2395718
440.05515	7548489
440.06202	2255436
440.08347	2125908
440.09153	6205015
440.12804	4808294
440.16443	2352756
441.00995	7239619
441.01327	4298692
441.02627	2998217
441.03107	20058058
441.0463	11935697
441.04972	3952594
441.06261	4026327
441.06746	28151770
441.08265	6488031
441.08613	3681249
441.09934	3005414
441.10387	22523880
441.11901	3490798
441.12255	4929519
441.14024	14184438
441.1767	4636677
442.03456	3644761
442.0416	2220892
442.04966	2812255
442.07079	6170983
442.08616	2429293
442.10717	3924342
442.14365	3338628
442.98931	2786004
442.99262	2307798
443.01031	2492125
443.02073	2207457
443.02561	17945314
443.02913	4702948
443.04183	2973417
443.04675	16921322
443.05699	2631919
443.06195	18297584
443.06538	4472563
443.07864	1984248
443.08312	15512313
443.09831	8446719
443.10177	4786945
443.11948	11358984
443.13489	4043534
443.13814	4485904
443.1559	5249815
443.17131	2142493
444.02073	2188399
444.02889	3757170
444.05011	3628155
444.05713	2628733
444.06532	3853441
444.08641	3902601
444.1015	2213007
444.12306	2557080
445.00491	12154359
445.00809	2732537
445.02611	3778048
445.03639	4595204
445.04125	31749638
445.045	3366408
445.06243	9623054
445.07269	3252755
445.07764	22304276
445.08121	3952150
445.09881	6276637
445.114	9983523
445.11745	4892197
445.15041	5492274
445.15379	3841587
446.00823	2258824
446.03656	3735444
446.04465	6334359
446.07316	2896802
446.08102	3879846
446.11721	2362292
446.15376	2083779
446.98413	2612495
447.01563	3152156
447.02052	27253022
447.02409	2641183
447.0519	4995370
447.05688	42203436
447.06812	2439473
447.07805	2532661
447.08856	2315065
447.09327	21952826
447.0968	3431740
447.11458	2091331
447.12499	2249544
447.12966	13031753
447.13315	4815179
447.1661	5921112
448.0238	4780720
448.05216	5251772
448.06021	9128639
448.0884	2817738
448.09657	5661389
448.13274	3258076
448.99974	8014904
449.01827	3105343
449.0312	6302789
449.03616	46758984
449.06762	5981267
449.07251	40090708
449.10395	2964578
449.10895	21019748
449.11237	2347109
449.14046	2176113
449.14532	14507122
449.18166	5700737
450.0315	2680279
450.03949	9956826
450.06777	4093414
450.07582	9784809
450.10434	2233844
450.11222	5035512
450.14856	3358214
450.99771	3542876
451.01049	3465057
451.01542	19865444
451.03063	3555177
451.03406	2643819
451.04694	7047024
451.05181	49168240
451.0672	3620728
451.07042	2213753
451.08326	4554623
451.08819	32169856
451.11964	3468173
451.12453	20955024
451.16099	12906398
451.19743	3484589
452.01882	4647160
452.04715	2882819
452.05519	10453254
452.08339	2922770
452.09155	6705429
452.12774	4448548
452.16424	2986291
453.00998	5487240
453.01332	4348554
453.02619	4471439
453.03109	29221520
453.04629	8643223
453.04979	3756696
453.06242	5298845
453.06747	38453920
453.08281	4872870
453.08604	2994855
453.09881	3682988
453.10385	24355502
453.12246	2733750
453.13496	3292859
453.14023	18875068
453.17655	7627468
454.03442	5880870
454.04166	1997353
454.04969	2149420
454.06258	2577458
454.07086	8055861
454.09908	2308160
454.10733	5243972
454.14367	4330579
454.17997	2609249
454.98913	2522536
454.99247	2485162
455.01041	6794673
455.0206	2453941
455.02556	13317559
455.02902	5105081
455.04165	4027838
455.04674	26895808
455.05697	1977796
455.06197	11838918
455.0654	4380103
455.07799	3907020
455.08312	26977742
455.09828	4443605
455.10166	5539286
455.11452	2243035
455.11952	18556382
455.13449	2929123
455.13813	2460133
455.15589	9606636
455.1746	2037235
455.19238	3018235
456.02877	3532621
456.05008	4398934
456.05734	2629465
456.06539	2287964
456.08644	4980581
456.12289	4611956
456.15944	2360194
457.00481	9578713
457.00828	3898586
457.02599	9136353
457.03627	3686630
457.04126	22186216
457.04476	4696297
457.05719	2614510
457.06235	18008304
457.07246	2570484
457.07763	14108918
457.08108	4146424
457.09357	3022077
457.09877	13576447
457.11397	6428933
457.1174	4538631
